name,Adduct,mz,Polarity,FullName
6-Phospho-D-gluconate,[M+HCO2]-,321.02286,negative,6-Phospho-D-gluconate_[M+HCO2]-
gamma-L-Glutamyl-L-glutamic acid,[M+HCO2]-,321.09397,negative,gamma-L-Glutamyl-L-glutamic acid_[M+HCO2]-
L-Saccharopine,[M+HCO2]-,321.13036,negative,L-Saccharopine_[M+HCO2]-
gamma-Glutamyl-L-methionine,[M+HCO2]-,323.09186,negative,gamma-Glutamyl-L-methionine_[M+HCO2]-
Pantetheine,[M+HCO2]-,323.12825,negative,Pantetheine_[M+HCO2]-
alpha-Linolenic acid,[M+HCO2]-,323.2228,negative,alpha-Linolenic acid_[M+HCO2]-
"all cis-(6,9,12)-Linolenic acid",[M+HCO2]-,323.2228,negative,"all cis-(6,9,12)-Linolenic acid_[M+HCO2]-"
L-Aspartyl-L-phenylalanine,[M+HCO2]-,325.10414,negative,L-Aspartyl-L-phenylalanine_[M+HCO2]-
Linoleic acid,[M+HCO2]-,325.23845,negative,Linoleic acid_[M+HCO2]-
N6-methyladenosine,[M+HCO2]-,326.11063,negative,N6-methyladenosine_[M+HCO2]-
2'-O-methyladenosine,[M+HCO2]-,326.11063,negative,2'-O-methyladenosine_[M+HCO2]-
1-Methyladenosine,[M+HCO2]-,326.11063,negative,1-Methyladenosine_[M+HCO2]-
3'-O-methyladenosine,[M+HCO2]-,326.11063,negative,3'-O-methyladenosine_[M+HCO2]-
3'-O-Methylinosine,[M+HCO2]-,327.09464,negative,3'-O-Methylinosine_[M+HCO2]-
2'-O-methylinosine,[M+HCO2]-,327.09464,negative,2'-O-methylinosine_[M+HCO2]-
Oleic acid,[M+HCO2]-,327.2541,negative,Oleic acid_[M+HCO2]-
trans-Vaccenic acid,[M+HCO2]-,327.2541,negative,trans-Vaccenic acid_[M+HCO2]-
Guanosine,[M+HCO2]-,328.08989,negative,Guanosine_[M+HCO2]-
Stearamide,[M+HCO2]-,328.28573,negative,Stearamide_[M+HCO2]-
Xanthosine,[M+HCO2]-,329.07391,negative,Xanthosine_[M+HCO2]-
9-cis-Retinal,[M+HCO2]-,329.21224,negative,9-cis-Retinal_[M+HCO2]-
Retinene,[M+HCO2]-,329.21224,negative,Retinene_[M+HCO2]-
Stearic acid,[M+HCO2]-,329.26975,negative,Stearic acid_[M+HCO2]-
N4-Acetylcytidine,[M+HCO2]-,330.09431,negative,N4-Acetylcytidine_[M+HCO2]-
Kaempferol,[M+HCO2]-,331.04596,negative,Kaempferol_[M+HCO2]-
Androstendione,[M+HCO2]-,331.1915,negative,Androstendione_[M+HCO2]-
Retinol (Vitamin A),[M+HCO2]-,331.22789,negative,Retinol (Vitamin A)_[M+HCO2]-
11-cis-Retinol,[M+HCO2]-,331.44982,negative,11-cis-Retinol_[M+HCO2]-
9-cis-Retinol,[M+HCO2]-,331.44982,negative,9-cis-Retinol_[M+HCO2]-
Testosterone,[M+HCO2]-,333.20715,negative,Testosterone_[M+HCO2]-
trans-Dehydroandrosterone,[M+HCO2]-,333.20715,negative,trans-Dehydroandrosterone_[M+HCO2]-
Androstanedione,[M+HCO2]-,333.20715,negative,Androstanedione_[M+HCO2]-
Argininosuccinic acid,[M+HCO2]-,335.12086,negative,Argininosuccinic acid_[M+HCO2]-
3alpha-Hydroxy-5alpha-androstan-17-one (Androsterone),[M+HCO2]-,335.2228,negative,3alpha-Hydroxy-5alpha-androstan-17-one (Androsterone)_[M+HCO2]-
EDTA,[M+HCO2]-,337.08889,negative,EDTA_[M+HCO2]-
beta-Octylglucoside,[M+HCO2]-,337.18681,negative,beta-Octylglucoside_[M+HCO2]-
Aspartame,[M+HCO2]-,339.11979,negative,Aspartame_[M+HCO2]-
gamma-L-Glutamyl-L-phenylalanine,[M+HCO2]-,339.11979,negative,gamma-L-Glutamyl-L-phenylalanine_[M+HCO2]-
Prunasin,[M+HCO2]-,340.10381,negative,Prunasin_[M+HCO2]-
S-Methyl-5'-thioadenosine,[M+HCO2]-,342.08778,negative,S-Methyl-5'-thioadenosine_[M+HCO2]-
3'-O-methylguanosine,[M+HCO2]-,342.10554,negative,3'-O-methylguanosine_[M+HCO2]-
2'-O-methylguanosine,[M+HCO2]-,342.10554,negative,2'-O-methylguanosine_[M+HCO2]-
1-methylguanosine,[M+HCO2]-,342.10554,negative,1-methylguanosine_[M+HCO2]-
2-Methylguanosine,[M+HCO2]-,342.10554,negative,2-Methylguanosine_[M+HCO2]-
Pristanic acid,[M+HCO2]-,343.2854,negative,Pristanic acid_[M+HCO2]-
N4-acetyl-2'-O-methylcytidine,[M+HCO2]-,344.10996,negative,N4-acetyl-2'-O-methylcytidine_[M+HCO2]-
Sphingosine,[M+HCO2]-,344.28065,negative,Sphingosine_[M+HCO2]-
Cinnavalininate,[M+HCO2]-,345.03646,negative,Cinnavalininate_[M+HCO2]-
All-trans-retinoic acid (Vitamin A acid),[M+HCO2]-,345.20715,negative,All-trans-retinoic acid (Vitamin A acid)_[M+HCO2]-
4-Oxoretinol,[M+HCO2]-,345.20715,negative,4-Oxoretinol_[M+HCO2]-
9-cis-Retinoic acid,[M+HCO2]-,345.20715,negative,9-cis-Retinoic acid_[M+HCO2]-
N-Acetylglucosamine 1-phosphate,[M+HCO2]-,346.05449,negative,N-Acetylglucosamine 1-phosphate_[M+HCO2]-
N-Acetyl-D-Glucosamine 6-Phosphate,[M+HCO2]-,346.05449,negative,N-Acetyl-D-Glucosamine 6-Phosphate_[M+HCO2]-
Sphinganine,[M+HCO2]-,346.2963,negative,Sphinganine_[M+HCO2]-
Quercetin,[M+HCO2]-,347.04088,negative,Quercetin_[M+HCO2]-
Eicosapentaenoic acid,[M+HCO2]-,347.2228,negative,Eicosapentaenoic acid_[M+HCO2]-
N-Acetylaspartylglutamate (NAAG),[M+HCO2]-,349.08889,negative,N-Acetylaspartylglutamate (NAAG)_[M+HCO2]-
Arachidonic Acid (peroxide free),[M+HCO2]-,349.23845,negative,Arachidonic Acid (peroxide free)_[M+HCO2]-
"Cytidine 2',3'-cyclic phosphate",[M+HCO2]-,350.03951,negative,"Cytidine 2',3'-cyclic phosphate_[M+HCO2]-"
3-Iodo-L-tyrosine (MIT),[M+HCO2]-,351.96877,negative,3-Iodo-L-tyrosine (MIT)_[M+HCO2]-
2'-Deoxycytidine 5'-monophosphate (dCMP),[M+HCO2]-,352.05516,negative,2'-Deoxycytidine 5'-monophosphate (dCMP)_[M+HCO2]-
Glutathione,[M+HCO2]-,352.08203,negative,Glutathione_[M+HCO2]-
Deoxyuridine monophosphate (dUMP),[M+HCO2]-,353.03918,negative,Deoxyuridine monophosphate (dUMP)_[M+HCO2]-
N-Acetylneuraminic acid,[M+HCO2]-,354.1042,negative,N-Acetylneuraminic acid_[M+HCO2]-
"D-Ribulose 1,5-bisphosphate",[M+HCO2]-,354.98371,negative,"D-Ribulose 1,5-bisphosphate_[M+HCO2]-"
"D-Ribose 1,5-bisphosphate",[M+HCO2]-,355.08792,negative,"D-Ribose 1,5-bisphosphate_[M+HCO2]-"
"N2,N2-Dimethylguanosine",[M+HCO2]-,356.12119,negative,"N2,N2-Dimethylguanosine_[M+HCO2]-"
Phytanic acid,[M+HCO2]-,357.30105,negative,Phytanic acid_[M+HCO2]-
Arachidic acid,[M+HCO2]-,357.30105,negative,Arachidic acid_[M+HCO2]-
1-Salicylate glucuronide,[M+HCO2]-,359.062,negative,1-Salicylate glucuronide_[M+HCO2]-
Geranyl diphosphate,[M+HCO2]-,359.06665,negative,Geranyl diphosphate_[M+HCO2]-
Progesterone,[M+HCO2]-,359.2228,negative,Progesterone_[M+HCO2]-
"15-Deoxy-delta-12,14-PGJ2",[M+HCO2]-,361.20207,negative,"15-Deoxy-delta-12,14-PGJ2_[M+HCO2]-"
Pregnenolone,[M+HCO2]-,361.23845,negative,Pregnenolone_[M+HCO2]-
Phytosphingosine,[M+HCO2]-,362.29121,negative,Phytosphingosine_[M+HCO2]-
Ubiquinone (Q2),[M+HCO2]-,363.18133,negative,Ubiquinone (Q2)_[M+HCO2]-
Deoxythymidine 5'-phosphate (dTMP),[M+HCO2]-,367.05483,negative,Deoxythymidine 5'-phosphate (dTMP)_[M+HCO2]-
Cytidine 5'-monophosphate (CMP),[M+HCO2]-,368.05007,negative,Cytidine 5'-monophosphate (CMP)_[M+HCO2]-
Uridine 5'-monophosphate (UMP),[M+HCO2]-,369.03409,negative,Uridine 5'-monophosphate (UMP)_[M+HCO2]-
"(4Z,7Z,10Z,13Z,16Z,19Z)-4,7,10,13,1 6,19-Docosahexaenoic acid",[M+HCO2]-,373.23845,negative,"(4Z,7Z,10Z,13Z,16Z,19Z)-4,7,10,13,1 6,19-Docosahexaenoic acid_[M+HCO2]-"
"Adenosine 3',5'-cyclic phosphate (cAMP)",[M+HCO2]-,374.05074,negative,"Adenosine 3',5'-cyclic phosphate (cAMP)_[M+HCO2]-"
17alpha-Hydroxyprogesterone,[M+HCO2]-,375.21771,negative,17alpha-Hydroxyprogesterone_[M+HCO2]-
11beta-Hydroxyprogesterone,[M+HCO2]-,375.21771,negative,11beta-Hydroxyprogesterone_[M+HCO2]-
11-Deoxycorticosterone,[M+HCO2]-,375.21771,negative,11-Deoxycorticosterone_[M+HCO2]-
2'-Deoxyadenosine 5'-monophosphate (dAMP),[M+HCO2]-,376.06639,negative,2'-Deoxyadenosine 5'-monophosphate (dAMP)_[M+HCO2]-
2'-Deoxyinosine 5'-monophosphate,[M+HCO2]-,377.05041,negative,2'-Deoxyinosine 5'-monophosphate_[M+HCO2]-
21-Hydroxypregnenolone,[M+HCO2]-,377.23336,negative,21-Hydroxypregnenolone_[M+HCO2]-
Nicotinamide ribotide,[M+HCO2]-,379.05483,negative,Nicotinamide ribotide_[M+HCO2]-
Nicotinate D-ribonucleotide,[M+HCO2]-,380.03884,negative,Nicotinate D-ribonucleotide_[M+HCO2]-
beta-Nicotinamide D-ribonucleotide,[M+HCO2]-,380.06265,negative,beta-Nicotinamide D-ribonucleotide_[M+HCO2]-
Isopentenyladenosine,[M+HCO2]-,380.15758,negative,Isopentenyladenosine_[M+HCO2]-
S-Nitroso-L-glutathione,[M+HCO2]-,381.07219,negative,S-Nitroso-L-glutathione_[M+HCO2]-
Berberine,[M+HCO2]-,381.1218,negative,Berberine_[M+HCO2]-
"3,5-Dibromo-L-tyrosine",[M+HCO2]-,381.89314,negative,"3,5-Dibromo-L-tyrosine_[M+HCO2]-"
Erucamide,[M+HCO2]-,382.33268,negative,Erucamide_[M+HCO2]-
5'-Phosphoribosyl-5-amino-4-imidazolecarboxamide (AICAR),[M+HCO2]-,383.06097,negative,5'-Phosphoribosyl-5-amino-4-imidazolecarboxamide (AICAR)_[M+HCO2]-
Erucic acid,[M+HCO2]-,383.3167,negative,Erucic acid_[M+HCO2]-
"D-Fructose 1,6-bisphosphate",[M+HCO2]-,384.99428,negative,"D-Fructose 1,6-bisphosphate_[M+HCO2]-"
"Alpha-D-Glucose 1,6-bisphosphate",[M+HCO2]-,384.99428,negative,"Alpha-D-Glucose 1,6-bisphosphate_[M+HCO2]-"
Behenic acid,[M+HCO2]-,385.33235,negative,Behenic acid_[M+HCO2]-
Galactinol,[M+HCO2]-,387.11444,negative,Galactinol_[M+HCO2]-
Sucrose,[M+HCO2]-,387.11444,negative,Sucrose_[M+HCO2]-
D-Maltose,[M+HCO2]-,387.11444,negative,D-Maltose_[M+HCO2]-
D-Lactose,[M+HCO2]-,387.11444,negative,D-Lactose_[M+HCO2]-
D-(+)-Melibiose,[M+HCO2]-,387.11444,negative,D-(+)-Melibiose_[M+HCO2]-
Trehalose,[M+HCO2]-,387.11444,negative,Trehalose_[M+HCO2]-
Cellobiose,[M+HCO2]-,387.11444,negative,Cellobiose_[M+HCO2]-
Isomaltose,[M+HCO2]-,387.11444,negative,Isomaltose_[M+HCO2]-
Thiamine monophosphate,[M+HCO2]-,389.06904,negative,Thiamine monophosphate_[M+HCO2]-
"3',5'-Cyclic guanosine monophosphate",[M+HCO2]-,390.04566,negative,"3',5'-Cyclic guanosine monophosphate_[M+HCO2]-"
Cortexolone,[M+HCO2]-,391.21263,negative,Cortexolone_[M+HCO2]-
Corticosterone,[M+HCO2]-,391.21263,negative,Corticosterone_[M+HCO2]-
11-Deoxycortisol,[M+HCO2]-,391.21263,negative,11-Deoxycortisol_[M+HCO2]-
Adenosine monophosphate (AMP),[M+HCO2]-,392.06131,negative,Adenosine monophosphate (AMP)_[M+HCO2]-
Adenosine 3'-monophosphate,[M+HCO2]-,392.06131,negative,Adenosine 3'-monophosphate_[M+HCO2]-
2'-Deoxyguanosine 5'-monophosphate (dGMP),[M+HCO2]-,392.06131,negative,2'-Deoxyguanosine 5'-monophosphate (dGMP)_[M+HCO2]-
Inosine 5'-monophosphate (IMP),[M+HCO2]-,393.04532,negative,Inosine 5'-monophosphate (IMP)_[M+HCO2]-
Estrone 3-sulfate,[M+HCO2]-,395.11702,negative,Estrone 3-sulfate_[M+HCO2]-
Tetrahydrocorticosterone,[M+HCO2]-,395.24393,negative,Tetrahydrocorticosterone_[M+HCO2]-
Prostaglandin E2,[M+HCO2]-,397.22319,negative,Prostaglandin E2_[M+HCO2]-
Prostaglandin I2,[M+HCO2]-,397.22319,negative,Prostaglandin I2_[M+HCO2]-
Prostaglandin D2(PGD2),[M+HCO2]-,397.22319,negative,Prostaglandin D2(PGD2)_[M+HCO2]-
Chlorogenic acid,[M+HCO2]-,399.0933,negative,Chlorogenic acid_[M+HCO2]-
Prostaglandin E1,[M+HCO2]-,399.23885,negative,Prostaglandin E1_[M+HCO2]-
1-Stearoyl-sn-glycerol,[M+HCO2]-,403.30653,negative,1-Stearoyl-sn-glycerol_[M+HCO2]-
Rosmarinic Acid,[M+HCO2]-,405.08274,negative,Rosmarinic Acid_[M+HCO2]-
Cortisone,[M+HCO2]-,405.19189,negative,Cortisone_[M+HCO2]-
Aldosterone,[M+HCO2]-,405.19189,negative,Aldosterone_[M+HCO2]-
Hydrocortisone (Cortisol),[M+HCO2]-,407.20754,negative,Hydrocortisone (Cortisol)_[M+HCO2]-
Guanosine 5'-monophosphate (GMP),[M+HCO2]-,408.05622,negative,Guanosine 5'-monophosphate (GMP)_[M+HCO2]-
Xanthylic acid (XMP),[M+HCO2]-,409.04024,negative,Xanthylic acid (XMP)_[M+HCO2]-
Nervonic acid,[M+HCO2]-,411.348,negative,Nervonic acid_[M+HCO2]-
Curcumin,[M+HCO2]-,413.12421,negative,Curcumin_[M+HCO2]-
Tetracosanoic acid,[M+HCO2]-,413.36365,negative,Tetracosanoic acid_[M+HCO2]-
Biocytin,[M+HCO2]-,417.18135,negative,Biocytin_[M+HCO2]-
Riboflavin,[M+HCO2]-,421.13651,negative,Riboflavin_[M+HCO2]-
Lithocholic acid,[M+HCO2]-,421.29597,negative,Lithocholic acid_[M+HCO2]-
S-Lactoylglutathione,[M+HCO2]-,424.10316,negative,S-Lactoylglutathione_[M+HCO2]-
Sphinganine 1-phosphate,[M+HCO2]-,426.48592,negative,Sphinganine 1-phosphate_[M+HCO2]-
Farnesyl pyrophosphate,[M+HCO2]-,427.12925,negative,Farnesyl pyrophosphate_[M+HCO2]-
S-Adenosyl-L-homocysteine,[M+HCO2]-,429.11981,negative,S-Adenosyl-L-homocysteine_[M+HCO2]-
Cholecalciferol (Vitamin D3),[M+HCO2]-,429.33744,negative,Cholecalciferol (Vitamin D3)_[M+HCO2]-
7-Dehydrocholesterol,[M+HCO2]-,429.33744,negative,7-Dehydrocholesterol_[M+HCO2]-
Desmosterol,[M+HCO2]-,429.33744,negative,Desmosterol_[M+HCO2]-
Phosphatidylserine,[M+HCO2]-,430.11201,negative,Phosphatidylserine_[M+HCO2]-
Cholesterol,[M+HCO2]-,431.35309,negative,Cholesterol_[M+HCO2]-
Lathosterol,[M+HCO2]-,431.35309,negative,Lathosterol_[M+HCO2]-
2'-Deoxycytidine diphosphate (dCDP),[M+HCO2]-,432.02149,negative,2'-Deoxycytidine diphosphate (dCDP)_[M+HCO2]-
5-Phospho-alpha-D-ribose 1-diphosphate,[M+HCO2]-,434.95004,negative,5-Phospho-alpha-D-ribose 1-diphosphate_[M+HCO2]-
Deoxycholic acid,[M+HCO2]-,437.29088,negative,Deoxycholic acid_[M+HCO2]-
Chenodeoxycholate,[M+HCO2]-,437.29088,negative,Chenodeoxycholate_[M+HCO2]-
pregnenolone sulfate,[M+HCO2]-,441.19527,negative,pregnenolone sulfate_[M+HCO2]-
Vitamin D2 (Ergocalciferol),[M+HCO2]-,441.33744,negative,Vitamin D2 (Ergocalciferol)_[M+HCO2]-
Ergosterol (Provitamin D2),[M+HCO2]-,441.33744,negative,Ergosterol (Provitamin D2)_[M+HCO2]-
Ergocalciferol (Vitamin D2),[M+HCO2]-,441.33744,negative,Ergocalciferol (Vitamin D2)_[M+HCO2]-
Hexacosanoic acid,[M+HCO2]-,441.39495,negative,Hexacosanoic acid_[M+HCO2]-
C-6 Ceramide,[M+HCO2]-,442.35381,negative,C-6 Ceramide_[M+HCO2]-
S-Adenosylmethionine,[M+HCO2]-,443.13546,negative,S-Adenosylmethionine_[M+HCO2]-
Dihydrotachysterol,[M+HCO2]-,443.35309,negative,Dihydrotachysterol_[M+HCO2]-
L-Palmitoylcarnitine,[M+HCO2]-,444.33308,negative,L-Palmitoylcarnitine_[M+HCO2]-
25-hydroxyvitamin D3,[M+HCO2]-,445.33235,negative,25-hydroxyvitamin D3_[M+HCO2]-
Deoxythymidine 5'-diphosphate (dTDP),[M+HCO2]-,447.02116,negative,Deoxythymidine 5'-diphosphate (dTDP)_[M+HCO2]-
25-Hydroxycholesterol,[M+HCO2]-,447.348,negative,25-Hydroxycholesterol_[M+HCO2]-
22beta-Hydroxycholesterol,[M+HCO2]-,447.348,negative,22beta-Hydroxycholesterol_[M+HCO2]-
Cytidine 5'-diphosphate (CDP),[M+HCO2]-,448.01641,negative,Cytidine 5'-diphosphate (CDP)_[M+HCO2]-
Uridine 5'-diphosphate (UDP),[M+HCO2]-,449.00042,negative,Uridine 5'-diphosphate (UDP)_[M+HCO2]-
hydrocortisone 21-acetate,[M+HCO2]-,449.21811,negative,hydrocortisone 21-acetate_[M+HCO2]-
Cholic acid,[M+HCO2]-,453.2858,negative,Cholic acid_[M+HCO2]-
Squalene,[M+HCO2]-,455.38947,negative,Squalene_[M+HCO2]-
"N,N'-Diacetylchitobiose",[M+HCO2]-,469.16753,negative,"N,N'-Diacetylchitobiose_[M+HCO2]-"
Octacosanoic acid,[M+HCO2]-,469.42625,negative,Octacosanoic acid_[M+HCO2]-
Thiamine pyrophosphate (TPP),[M+HCO2]-,470.04319,negative,Thiamine pyrophosphate (TPP)_[M+HCO2]-
Lanosterol,[M+HCO2]-,471.38439,negative,Lanosterol_[M+HCO2]-
Adenosine 5'-phosphosulfate (APS),[M+HCO2]-,472.01812,negative,Adenosine 5'-phosphosulfate (APS)_[M+HCO2]-
Adenosine 5'-diphosphate (ADP),[M+HCO2]-,472.02764,negative,Adenosine 5'-diphosphate (ADP)_[M+HCO2]-
2'-Deoxyguanosine 5'-diphosphate (dGDP),[M+HCO2]-,472.02764,negative,2'-Deoxyguanosine 5'-diphosphate (dGDP)_[M+HCO2]-
"Adenosine 3',5'-diphosphate (PAP)",[M+HCO2]-,472.02764,negative,"Adenosine 3',5'-diphosphate (PAP)_[M+HCO2]-"
Stearoylcarnitine,[M+HCO2]-,472.36438,negative,Stearoylcarnitine_[M+HCO2]-
Inosine diphosphate (IDP),[M+HCO2]-,473.01166,negative,Inosine diphosphate (IDP)_[M+HCO2]-
alpha-Tocopherol (Vitamin E),[M+HCO2]-,475.3793,negative,alpha-Tocopherol (Vitamin E)_[M+HCO2]-
"3,5-Diiodo-L-tyrosine",[M+HCO2]-,477.97982,negative,"3,5-Diiodo-L-tyrosine_[M+HCO2]-"
Glycolithocholic acid,[M+HCO2]-,478.31743,negative,Glycolithocholic acid_[M+HCO2]-
1-Oleoyl-sn-glycerol 3-phosphate,[M+HCO2]-,481.25721,negative,1-Oleoyl-sn-glycerol 3-phosphate_[M+HCO2]-
Folate,[M+HCO2]-,486.1379,negative,Folate_[M+HCO2]-
Ascorbyl stearate,[M+HCO2]-,487.29127,negative,Ascorbyl stearate_[M+HCO2]-
Guanosine 5'-diphosphate (GDP),[M+HCO2]-,488.02256,negative,Guanosine 5'-diphosphate (GDP)_[M+HCO2]-
"7,8-Dihydrofolate",[M+HCO2]-,488.15355,negative,"7,8-Dihydrofolate_[M+HCO2]-"
Menaquinone 4,[M+HCO2]-,489.30105,negative,Menaquinone 4_[M+HCO2]-
Tetrahydrofolate,[M+HCO2]-,490.1692,negative,Tetrahydrofolate_[M+HCO2]-
CDP-Ethanolamine,[M+HCO2]-,491.05861,negative,CDP-Ethanolamine_[M+HCO2]-
Estrone-3-glucuronide,[M+HCO2]-,491.19229,negative,Estrone-3-glucuronide_[M+HCO2]-
Glycodeoxycholic acid,[M+HCO2]-,494.31234,negative,Glycodeoxycholic acid_[M+HCO2]-
Glycochenodeoxycholate,[M+HCO2]-,494.31234,negative,Glycochenodeoxycholate_[M+HCO2]-
Geranylgeranyl diphosphate (Geranyl-PP),[M+HCO2]-,495.19185,negative,Geranylgeranyl diphosphate (Geranyl-PP)_[M+HCO2]-
Vitamin K1,[M+HCO2]-,495.348,negative,Vitamin K1_[M+HCO2]-
Phylloquinone,[M+HCO2]-,495.348,negative,Phylloquinone_[M+HCO2]-
Flavin mononucleotide (FMN),[M+HCO2]-,501.10284,negative,Flavin mononucleotide (FMN)_[M+HCO2]-
"5,10-methylene-THF",[M+HCO2]-,502.1692,negative,"5,10-methylene-THF_[M+HCO2]-"
5-Methyltetrahydrofolate (5-Methyl-THF),[M+HCO2]-,504.18485,negative,5-Methyltetrahydrofolate (5-Methyl-THF)_[M+HCO2]-
Adenylsuccinic acid,[M+HCO2]-,508.07227,negative,Adenylsuccinic acid_[M+HCO2]-
Glycocholic acid,[M+HCO2]-,510.30726,negative,Glycocholic acid_[M+HCO2]-
Cholesteryl sulfate,[M+HCO2]-,511.3099,negative,Cholesteryl sulfate_[M+HCO2]-
Deoxycytidine 5'-triphosphate (dCTP),[M+HCO2]-,511.98783,negative,Deoxycytidine 5'-triphosphate (dCTP)_[M+HCO2]-
2'-Deoxyuridine 5'-triphosphate (dUTP),[M+HCO2]-,512.97184,negative,2'-Deoxyuridine 5'-triphosphate (dUTP)_[M+HCO2]-
Folinic acid,[M+HCO2]-,518.16412,negative,Folinic acid_[M+HCO2]-
Deoxythymidine triphosphate (dTTP),[M+HCO2]-,526.98749,negative,Deoxythymidine triphosphate (dTTP)_[M+HCO2]-
Cytidine triphosphate (CTP),[M+HCO2]-,527.98274,negative,Cytidine triphosphate (CTP)_[M+HCO2]-
Taurolithocholic acid,[M+HCO2]-,528.30007,negative,Taurolithocholic acid_[M+HCO2]-
Uridine 5'-triphosphate (UTP),[M+HCO2]-,528.96676,negative,Uridine 5'-triphosphate (UTP)_[M+HCO2]-
Cytidine 5'-diphosphocholine (CDP-choline),[M+HCO2]-,533.10556,negative,Cytidine 5'-diphosphocholine (CDP-choline)_[M+HCO2]-
2'-Deoxyadenosine 5'-triphosphate (dATP),[M+HCO2]-,535.99906,negative,2'-Deoxyadenosine 5'-triphosphate (dATP)_[M+HCO2]-
Taurochenodeoxycholate,[M+HCO2]-,544.29498,negative,Taurochenodeoxycholate_[M+HCO2]-
Taurodeoxycholic acid,[M+HCO2]-,544.29498,negative,Taurodeoxycholic acid_[M+HCO2]-
Maltotriose,[M+HCO2]-,549.16726,negative,Maltotriose_[M+HCO2]-
Raffinose,[M+HCO2]-,549.16726,negative,Raffinose_[M+HCO2]-
"Phorbol 12,13-dibutanoate",[M+HCO2]-,549.27054,negative,"Phorbol 12,13-dibutanoate_[M+HCO2]-"
3'-Phosphoadenosine 5'-phosphosulfate (PAPS),[M+HCO2]-,551.98446,negative,3'-Phosphoadenosine 5'-phosphosulfate (PAPS)_[M+HCO2]-
Adenosine 5'-triphosphate (ATP),[M+HCO2]-,551.99397,negative,Adenosine 5'-triphosphate (ATP)_[M+HCO2]-
Deoxyguanosine triphosphate (dGTP),[M+HCO2]-,551.99397,negative,Deoxyguanosine triphosphate (dGTP)_[M+HCO2]-
Inosine triphosphate,[M+HCO2]-,552.97799,negative,Inosine triphosphate_[M+HCO2]-
Taurocholate,[M+HCO2]-,560.2899,negative,Taurocholate_[M+HCO2]-
Guanosine 5'-triphosphate (GTP),[M+HCO2]-,567.98889,negative,Guanosine 5'-triphosphate (GTP)_[M+HCO2]-
1-Stearoyl-sn-glycerol 3-phosphocholine,[M+HCO2]-,568.36201,negative,1-Stearoyl-sn-glycerol 3-phosphocholine_[M+HCO2]-
Xanthosine 5'-triphosphate (XTP),[M+HCO2]-,569.16342,negative,Xanthosine 5'-triphosphate (XTP)_[M+HCO2]-
"3,5-Diiodothyronine",[M+HCO2]-,569.89163,negative,"3,5-Diiodothyronine_[M+HCO2]-"
Bata-Carotene,[M+HCO2]-,581.43642,negative,Bata-Carotene_[M+HCO2]-
ADP-ribose,[M+HCO2]-,604.0699,negative,ADP-ribose_[M+HCO2]-
Protoporphyrin IX,[M+HCO2]-,607.25623,negative,Protoporphyrin IX_[M+HCO2]-
Cer(d18:1/18:1(9Z)),[M+HCO2]-,608.52596,negative,Cer(d18:1/18:1(9Z))_[M+HCO2]-
N-Stearoylsphingosine (Ceramide C18),[M+HCO2]-,610.54161,negative,N-Stearoylsphingosine (Ceramide C18)_[M+HCO2]-
Uridine diphosphate glucose(UDP-D-Glucose),[M+HCO2]-,611.05325,negative,Uridine diphosphate glucose(UDP-D-Glucose)_[M+HCO2]-
UDP-D-Galactose,[M+HCO2]-,611.05325,negative,UDP-D-Galactose_[M+HCO2]-
Uridine 5'-diphosphoglucuronic acid (UDP-D-glucuronate),[M+HCO2]-,625.03251,negative,Uridine 5'-diphosphoglucuronic acid (UDP-D-glucuronate)_[M+HCO2]-
Naringin,[M+HCO2]-,625.17743,negative,Naringin_[M+HCO2]-
Vitamin K2,[M+HCO2]-,625.42625,negative,Vitamin K2_[M+HCO2]-
Biliverdin,[M+HCO2]-,627.24606,negative,Biliverdin_[M+HCO2]-
Bilirubin,[M+HCO2]-,629.26171,negative,Bilirubin_[M+HCO2]-
GDP-L-Fucose,[M+HCO2]-,634.08047,negative,GDP-L-Fucose_[M+HCO2]-
ADP-glucose,[M+HCO2]-,634.08047,negative,ADP-glucose_[M+HCO2]-
Guanosine diphosphate mannose,[M+HCO2]-,650.07538,negative,Guanosine diphosphate mannose_[M+HCO2]-
GDP-glucose,[M+HCO2]-,650.07538,negative,GDP-glucose_[M+HCO2]-
UDP-N-acetylglucosamine,[M+HCO2]-,652.0798,negative,UDP-N-acetylglucosamine_[M+HCO2]-
Rutin,[M+HCO2]-,655.15161,negative,Rutin_[M+HCO2]-
Glutathione disulfide,[M+HCO2]-,657.15019,negative,Glutathione disulfide_[M+HCO2]-
Cytidine monophosphate N-acetylneuraminic acid,[M+HCO2]-,659.14549,negative,Cytidine monophosphate N-acetylneuraminic acid_[M+HCO2]-
Trilaurin,[M+HCO2]-,683.54676,negative,Trilaurin_[M+HCO2]-
1-Stearoyl-2-arachidonoyl-sn-glycerol,[M+HCO2]-,689.53619,negative,1-Stearoyl-2-arachidonoyl-sn-glycerol_[M+HCO2]-
Cholesteryl oleate (Lipids),[M+HCO2]-,695.5984,negative,Cholesteryl oleate (Lipids)_[M+HCO2]-
Liothyronine,[M+HCO2]-,695.78829,negative,Liothyronine_[M+HCO2]-
Cholesteryl stearate,[M+HCO2]-,697.61405,negative,Cholesteryl stearate_[M+HCO2]-
Coproporphyrin III,[M+HCO2]-,699.26719,negative,Coproporphyrin III_[M+HCO2]-
